Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2015-10-12,20:00 (15:00),Friendlies (M),Friendlies (M),Mon,Home,D,1,1,gn Guinea,,,,,Issam El Adoua,4-2-3-1,Maguette Ndiaye
2015-11-12,19:00 (14:00),WCQ,Second round,Thu,Home,W,2,0,gq Equ. Guinea,,,,,Medhi Benatia,,Daniel Bennett
2015-11-15,16:00 (10:00),WCQ,Second round,Sun,Away,L,0,1,gq Equ. Guinea,,,,,Medhi Benatia,,Janny Sikazwe
2012-06-02,16:30 (12:30),WCQ,Second round,Sat,Away,D,1,1,gm Gambia,,,,"15,000",,,Alioum Alioum
2012-06-09,21:00 (16:00),WCQ,Second round,Sat,Home,D,2,2,ci Côte d'Ivoire,,,,"36,000",Houssine Kharja,,Gehad Grisha
2013-03-24,15:00 (08:00),WCQ,Second round,Sun,Away,L,1,3,tz Tanzania,,,,"40,000",Nadir Lamyaghri,,Hélder Martins
2013-06-08,21:00 (16:00),WCQ,Second round,Sat,Home,W,2,1,tz Tanzania,,,,"15,000",,,Daniel Bennett
2013-06-15,21:00 (16:00),WCQ,Second round,Sat,Home,W,2,0,gm Gambia,,,,"15,000",Ahmed Kantari,,El Fadil Mohamed Hussein
2013-09-07,17:00 (13:00),WCQ,Second round,Sat,Away,D,1,1,ci Côte d'Ivoire,,,,"20,000",Issam El Adoua,,Bernard Camille
2014-03-05,19:00 (14:00),Friendlies (M),Friendlies (M),Wed,Home,D,1,1,ga Gabon,,,,,Adel Taarabt,4-2-3-1,Badara Diatta
2014-05-23,20:00 (15:00),Friendlies (M),Friendlies (M),Fri,Home,W,4,0,mz Mozambique,,,,,Medhi Benatia,4-2-3-1,Hugo Miguel
2014-05-28,19:00 (14:00),Friendlies (M),Friendlies (M),Wed,Home,L,0,2,ao Angola,,,,400,Issam El Adoua,,Duarte Gomes
2014-06-06,18:00 (10:00),Friendlies (M),Friendlies (M),Fri,Away,L,0,2,ru Russia,,,,"7,000",M'barek Boussoufa,4-2-3-1,Pavel Královec
2014-09-03,20:00 (15:00),Friendlies (M),Friendlies (M),Wed,Home,D,0,0,qa Qatar,,,,,Issam El Adoua,,Boubou Traoré
2014-09-07,20:00 (15:00),Friendlies (M),Friendlies (M),Sun,Home,W,3,0,ly Libya,,,,,Younès Belhanda,,Mohamed Ben Hassena
