Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2016-11-15,19:45 (14:45),Friendlies (M),Friendlies (M),Tue,Away,W,3,0,nir Northern Ireland,,,,"17,000",Mario Mandžukić,4-2-3-1,Mark Clattenburg
2015-03-28,18:00 (13:00),Euro Qualifying,Group stage,Sat,Home,W,5,1,no Norway,,,52,"23,920",Darijo Srna,4-4-1-1,Carlos Velasco
2015-06-07,18:00 (12:00),Friendlies (M),Friendlies (M),Sun,Home,W,4,0,gi Gibraltar,,,,"7,737",Mario Mandžukić,4-2-3-1,Matej Jug
2015-06-12,20:45 (14:45),Euro Qualifying,Group stage,Fri,Home,D,1,1,it Italy,,,43,75,Darijo Srna,4-2-3-1,Martin Atkinson
2015-09-03,21:00 (12:00),Euro Qualifying,Group stage,Thu,Away,D,0,0,az Azerbaijan,,,62,"10,000",Luka Modrić,4-2-3-1,Ruddy Buquet
2015-09-06,18:00 (12:00),Euro Qualifying,Group stage,Sun,Away,L,0,2,no Norway,,,58,"26,751",Darijo Srna,4-4-1-1,Viktor Kassai
2015-10-10,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,3,0,bg Bulgaria,,,63,150,Darijo Srna,4-2-3-1,Artur Soares Dias
2015-10-13,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,W,1,0,mt Malta,,,69,"5,835",Darijo Srna,4-1-4-1,Mark Clattenburg
2015-11-17,19:00 (11:00),Friendlies (M),Friendlies (M),Tue,Away,W,3,1,ru Russia,,,,"15,000",Darijo Srna,4-2-2-2,Clément Turpin
2012-09-07,20:15 (14:15),WCQ,First round,Fri,Home,W,1,0,mk N. Macedonia,,,,"13,883",Darijo Srna,,Alon Yefet
