Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2016-06-27,18:00 (12:00),UEFA Euro,Round of 16,Mon,Neutral,L,0,2,it Italy,,,59,"76,165",Sergio Ramos,4-3-3,Cüneyt Çakιr
2016-09-01,20:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,W,2,0,be Belgium,,,,"28,000",Sergio Busquets,4-1-4-1,Benoît Bastien
2016-09-05,20:45 (14:45),WCQ,First round,Mon,Home,W,8,0,li Liechtenstein,,,,"12,139",Sergio Ramos,4-2-3-1,Lee Evans
2016-10-06,20:45 (14:45),WCQ,First round,Thu,Away,D,1,1,it Italy,,,,"41,000",Sergio Ramos,4-3-3,Felix Brych
2016-10-09,20:45 (14:45),WCQ,First round,Sun,Away,W,2,0,al Albania,,,,"15,245",Sergio Ramos,4-4-1-1,Bas Nijhuis
2016-11-12,20:45 (14:45),WCQ,First round,Sat,Home,W,4,0,mk N. Macedonia,,,,"16,622",David Silva,4-5-1,Robert Schörgenhofer
2016-11-15,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Away,D,2,2,eng England,,,,"83,716",Sergio Busquets,4-1-4-1,Ovidiu Hațegan
2012-09-11,21:30 (13:30),WCQ,First round,Tue,Away,W,1,0,ge Georgia,,,,"54,598",Iker Casillas,,Svein Oddvar Moen
2012-10-12,21:00 (14:00),WCQ,First round,Fri,Away,W,4,0,by Belarus,,,,"28,800",Iker Casillas,,Serge Gumienny
2012-10-16,21:00 (15:00),WCQ,First round,Tue,Home,D,1,1,fr France,,,,"46,825",Iker Casillas,,Felix Brych
2013-03-22,20:45 (15:45),WCQ,First round,Fri,Home,D,1,1,fi Finland,,,,"27,637",Sergio Ramos,,Ovidiu Hațegan
2013-03-26,21:00 (16:00),WCQ,First round,Tue,Away,W,1,0,fr France,,,,"78,329",Sergio Ramos,,Viktor Kassai
2013-09-06,21:30 (14:30),WCQ,First round,Fri,Away,W,2,0,fi Finland,,,,"37,492",Iker Casillas,,Ivan Bebek
2013-10-11,22:00 (16:00),WCQ,First round,Fri,Home,W,2,1,by Belarus,,,,"22,900",Xavi,,Bas Nijhuis
2013-10-15,21:00 (15:00),WCQ,First round,Tue,Home,W,2,0,ge Georgia,,,,"16,133",Iker Casillas,,Florian Meyer
2014-03-05,22:00 (16:00),Friendlies (M),Friendlies (M),Wed,Home,W,1,0,it Italy,,,,"35,000",Iker Casillas,4-1-4-1,Yevhen Aranovskyi
2014-05-30,22:00 (16:00),Friendlies (M),Friendlies (M),Fri,Home,W,2,0,bo Bolivia,,,,"35,000",Xavi,4-2-3-1,Lorenc Jemini
2014-06-07,16:00,Friendlies (M),Friendlies (M),Sat,Away,W,2,0,sv El Salvador,,,,"50,000",Iker Casillas,4-1-4-1,Baldomero Toledo
2014-06-13,16:00 (15:00),FIFA World Cup,Group stage,Fri,Neutral,L,1,5,nl Netherlands,,,57,"48,173",,4-2-3-1,Nicola Rizzoli
2014-06-18,16:00 (15:00),FIFA World Cup,Group stage,Wed,Neutral,L,0,2,cl Chile,,,56,"74,101",,4-2-3-1,Mark Geiger
2014-06-23,13:00 (12:00),FIFA World Cup,Group stage,Mon,Neutral,W,3,0,au Australia,,,55,"39,375",,4-3-3,Nawaf Shukralla
2014-09-04,21:00 (15:00),Friendlies (M),Friendlies (M),Thu,Away,L,0,1,fr France,,,,"80,000",Sergio Ramos,4-1-4-1,Alain Bieri
2014-09-08,20:45 (14:45),Euro Qualifying,Group stage,Mon,Home,W,5,1,mk N. Macedonia,,,62,"25,346",Iker Casillas,4-1-4-1,Tasos Sidiropoulos
2014-10-09,20:45 (14:45),Euro Qualifying,Group stage,Thu,Away,L,1,2,sk Slovakia,,,67,"9,478",Iker Casillas,4-4-1-1,Björn Kuipers
2014-10-12,20:45 (14:45),Euro Qualifying,Group stage,Sun,Away,W,4,0,lu Luxembourg,,,66,"8,500",Andrés Iniesta,4-3-3,Paweł Gil
2014-11-15,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,3,0,by Belarus,,,72,"19,249",Iker Casillas,4-4-2,Kenn Hansen
2014-11-18,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,L,0,1,de Germany,,,,"26,900",Iker Casillas,4-2-3-1,Stefan Johannesson
2013-03-22,20:45 (15:45),WCQ,First round,Fri,Home,D,1,1,fi Finland,,,,"27,637",Sergio Ramos,,Ovidiu Hațegan
2013-03-26,21:00 (16:00),WCQ,First round,Tue,Away,W,1,0,fr France,,,,"78,329",Sergio Ramos,,Viktor Kassai
2013-06-16,19:00 (18:00),FIFA Confederations Cup,Group stage,Sun,Home,W,2,1,uy Uruguay,,,,"41,705",Iker Casillas,4-1-4-1,Yuichi Nishimura
2013-06-20,16:00 (15:00),FIFA Confederations Cup,Group stage,Thu,Home,W,10,0,pf Tahiti,,,,"71,806",Sergio Ramos,4-1-4-1,Djamel Haïmoudi
