Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,,
2006-10-11,19:30 (05:30),AFC Asian Cup qualification,Qualifying round,Wed,Home,W,2,0,bh Bahrain,,,,"37,000",Lucas Neill,,Fareed Ali Al Marzouqi,Match Report,
2006-11-15,19:00 (12:00),AFC Asian Cup qualification,Qualifying round,Wed,Away,,,,lb Lebanon,,,,,,,,Match Report,Match Cancelled
2007-07-08,17:15 (06:15),Asian Cup,Group stage,Sun,Neutral,D,1,1,om Oman,,,,"5,000",Mark Viduka,,Eddie Maillet,Match Report,
2007-07-13,17:15 (06:15),Asian Cup,Group stage,Fri,Neutral,L,1,3,iq Iraq,,,,"6,000",Mark Viduka,,Jasim Abdulkarim,Match Report,
2007-07-16,19:30 (08:30),Asian Cup,Group stage,Mon,Neutral,W,4,0,th Thailand,,,,"46,000",Mark Viduka,,Kwon Jongchul,Match Report,
2007-07-21,17:15 (06:15),Asian Cup,Quarter-finals,Sat,Neutral,D,1 (3),1 (4),jp Japan,,,,"25,000",Mark Viduka,,Saad Mane,Match Report,Japan won on penalty kicks following extra time
2006-02-22,18:35 (10:35),AFC Asian Cup qualification,Qualifying round,Wed,Away,W,3,1,bh Bahrain,,,,"2,500",Josip Skoko,,Subkhiddin Salleh,Match Report,
2006-06-12,15:00 (09:00),FIFA World Cup,Group stage,Mon,Neutral,W,3,1,jp Japan,,,,"46,000",,4-1-4-1,,Match Report,
2006-06-18,18:00 (12:00),FIFA World Cup,Group stage,Sun,Neutral,L,0,2,br Brazil,,,,"66,000",,3-4-3,,Match Report,
2006-06-22,21:00 (15:00),FIFA World Cup,Group stage,Thu,Neutral,D,2,2,hr Croatia,,,,"52,000",,3-4-3,,Match Report,
2006-06-26,17:00 (11:00),FIFA World Cup,Round of 16,Mon,Neutral,L,0,1,it Italy,,,,"46,000",,3-4-3,,Match Report,
