Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2015-10-13,20:45 (14:45),Euro Qualifying,Group stage,Tue,Home,L,2,3,cz Czech Republic,,,60,"48,000",Wesley Sneijder,4-3-3,Damir Skomina
2015-11-13,19:45 (14:45),Friendlies (M),Friendlies (M),Fri,Away,W,3,2,wls Wales,,,,"25,669",,,Benoît Bastien
2015-11-17,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Away,,0,0,de Germany,,,,,,,
2012-09-07,20:30 (14:30),WCQ,First round,Fri,Home,W,2,0,tr Türkiye,,,,"49,500",Wesley Sneijder,,Carlos Velasco
2012-09-11,20:30 (14:30),WCQ,First round,Tue,Away,W,4,1,hu Hungary,,,,"22,000",Wesley Sneijder,,Pedro Proença
2012-10-12,20:30 (14:30),WCQ,First round,Fri,Home,W,3,0,ad Andorra,,,,"43,000",Kevin Strootman,,Aliaksei Kulbakou
2012-10-16,21:00 (14:00),WCQ,First round,Tue,Away,W,4,1,ro Romania,,,,"53,329",Kevin Strootman,,Craig Thomson
2013-03-22,20:30 (15:30),WCQ,First round,Fri,Home,W,3,0,ee Estonia,,,,"48,675",Wesley Sneijder,,Vitaly Meshkov
2013-03-26,20:30 (15:30),WCQ,First round,Tue,Home,W,4,0,ro Romania,,,,"47,496",Kevin Strootman,,Mark Clattenburg
2013-09-06,21:30 (14:30),WCQ,First round,Fri,Away,D,2,2,ee Estonia,,,,"10,210",Robin van Persie,,Serhii Boiko
2013-09-10,20:30 (14:30),WCQ,First round,Tue,Away,W,2,0,ad Andorra,,,,"1,100",Robin van Persie,,Ante Vučemilović
2013-10-11,20:30 (14:30),WCQ,First round,Fri,Home,W,8,1,hu Hungary,,,,"52,027",Robin van Persie,,Martin Atkinson
2013-10-15,21:00 (14:00),WCQ,First round,Tue,Away,W,2,0,tr Türkiye,,,,"41,814",Robin van Persie,,Olegário Benquerença
2014-03-05,21:00 (15:00),Friendlies (M),Friendlies (M),Wed,Away,L,0,2,fr France,,,,"78,292",Robin van Persie,4-2-3-1,Martin Atkinson
2014-05-17,20:30 (14:30),Friendlies (M),Friendlies (M),Sat,Home,D,1,1,ec Ecuador,,,,"50,000",,,Pavel Královec
2014-05-31,20:30 (14:30),Friendlies (M),Friendlies (M),Sat,Home,W,1,0,gh Ghana,,,,,,,
2014-06-04,20:30 (14:30),Friendlies (M),Friendlies (M),Wed,Home,W,2,0,wls Wales,,,,,,,
2014-06-13,16:00 (15:00),FIFA World Cup,Group stage,Fri,Neutral,W,5,1,es Spain,,,43,"48,173",,3-4-1-2,Nicola Rizzoli
2014-06-18,13:00 (12:00),FIFA World Cup,Group stage,Wed,Neutral,W,3,2,au Australia,,,52,"42,877",,3-4-1-2,Djamel Haïmoudi
2014-06-23,13:00 (12:00),FIFA World Cup,Group stage,Mon,Neutral,W,2,0,cl Chile,,,36,"62,996",,3-4-1-2,Bakary Papa Gassama
2014-06-29,13:00 (12:00),FIFA World Cup,Round of 16,Sun,Neutral,W,2,1,mx Mexico,,,55,"58,817",,3-4-1-2,Pedro Proença
2014-07-05,17:00 (16:00),FIFA World Cup,Quarter-finals,Sat,Neutral,D,0 (4),0 (3),cr Costa Rica,,,64,"51,179",,3-4-3,Ravshan Irmatov
2014-07-09,17:00 (16:00),FIFA World Cup,Semi-finals,Wed,Neutral,D,0 (2),0 (4),ar Argentina,,,53,"63,267",,3-4-1-2,Cüneyt Çakιr
2014-07-12,17:00 (16:00),FIFA World Cup,Third-place match,Sat,Neutral,W,3,0,br Brazil,,,42,"68,034",,3-4-1-2,Djamel Haïmoudi
2014-09-04,20:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,L,0,2,it Italy,,,,"50,000",Robin van Persie,4-1-4-1,Sergey Karasev
2014-09-09,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,L,1,2,cz Czech Republic,,,66,"17,946",Robin van Persie,5-3-2,Gianluca Rocchi
2014-10-10,20:45 (14:45),Euro Qualifying,Group stage,Fri,Home,W,3,1,kz Kazakhstan,,,77,"45,000",Robin van Persie,4-3-3,Matej Jug
2014-10-13,18:45 (14:45),Euro Qualifying,Group stage,Mon,Away,L,0,2,is Iceland,,,69,"9,760",Robin van Persie,4-3-3,Carlos Velasco
2014-11-12,20:30 (14:30),Friendlies (M),Friendlies (M),Wed,Home,L,2,3,mx Mexico,,,,"40,500",,4-1-4-1,Szymon Marciniak
2014-11-16,18:00 (12:00),Euro Qualifying,Group stage,Sun,Home,W,6,0,lv Latvia,,,71,"50,000",Robin van Persie,4-3-3,Liran Liany
